"Codigo";"Descripcion";"Diferencia";"Fecha";"GrupoBCV";"Unidad";"Suplidor";"Tipo";"ID";"PrecioMes1";"PrecioMes2";"PrecioMes3";"PrecioMes4";"PrecioMes5";"PrecioMes6";"PrecioMes7";"PrecioMes8";"PrecioMes9";"PrecioMes10";"PrecioMes11";"PrecioMes12";"PrecioUnitario";"PorcentajeDiferencia";"PrecioMes12daMoneda";"PrecioMes22daMoneda";"PrecioMes32daMoneda";"PrecioMes42daMoneda";"PrecioMes52daMoneda";"PrecioMes62daMoneda";"PrecioMes72daMoneda";"PrecioMes82daMoneda";"PrecioMes92daMoneda";"PrecioMes102daMoneda";"PrecioMes112daMoneda";"PrecioMes122daMoneda";"PrecioUnitario2daMoneda"
"1087";"TAPA H.G. D =  3""                               0110009";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1087";"40.16";"40.16";"40.16";"40.16";"40.16";"40.16";"40.16";"40.16";"40.16";"0";"0";"0";"40.16";"";"4.67520372526193";"4.67520372526193";"4.67520372526193";"4.67520372526193";"4.67520372526193";"4.67520372526193";"4.67520372526193";"4.67520372526193";"0";"0";"0";"0";"4.67520372526193"
"1088";"TAPA H.G. D =  4""                               0110010";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1088";"66.97";"66.97";"66.97";"66.97";"66.97";"66.97";"66.97";"66.97";"66.97";"0";"0";"0";"66.97";"";"7.79627473806752";"7.79627473806752";"7.79627473806752";"7.79627473806752";"7.79627473806752";"7.79627473806752";"7.79627473806752";"7.79627473806752";"0";"0";"0";"0";"7.79627473806752"
"1089";"TAPA H.G. D =  1/2""                             0110002";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1089";"3";"3";"3";"3";"3";"3";"3";"3";"3";"0";"0";"0";"3";"";"0.349243306169965";"0.349243306169965";"0.349243306169965";"0.349243306169965";"0.349243306169965";"0.349243306169965";"0.349243306169965";"0.349243306169965";"0";"0";"0";"0";"0.349243306169965"
"1143";"ANILLO H.F. REDUCIDO 3"" x 2""                    0205008";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1143";"48.49";"48.49";"48.49";"48.49";"48.49";"48.49";"48.49";"48.49";"48.49";"0";"0";"0";"48.49";"";"5.64493597206054";"5.64493597206054";"5.64493597206054";"5.64493597206054";"5.64493597206054";"5.64493597206054";"5.64493597206054";"5.64493597206054";"0";"0";"0";"0";"5.64493597206054"
"1144";"ANILLO H.F. REDUCIDO 4"" x 3""                    0205010";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1144";"79.12";"79.12";"79.12";"79.12";"79.12";"79.12";"79.12";"79.12";"79.12";"0";"0";"0";"79.12";"";"9.21071012805588";"9.21071012805588";"9.21071012805588";"9.21071012805588";"9.21071012805588";"9.21071012805588";"9.21071012805588";"9.21071012805588";"0";"0";"0";"0";"9.21071012805588"
"1145";"ANILLO H.F. REDUCIDO 6"" x 4""                    0205013";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1145";"132.79";"132.79";"132.79";"132.79";"132.79";"132.79";"132.79";"132.79";"132.79";"0";"0";"0";"132.79";"";"15.4586728754366";"15.4586728754366";"15.4586728754366";"15.4586728754366";"15.4586728754366";"15.4586728754366";"15.4586728754366";"15.4586728754366";"0";"0";"0";"0";"15.4586728754366"
"1146";"ANILLO H.F. REDUCIDO 8"" x 6""                    0205016";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1146";"271.27";"271.27";"271.27";"271.27";"271.27";"271.27";"271.27";"271.27";"271.27";"0";"0";"0";"271.27";"";"31.5797438882421";"31.5797438882421";"31.5797438882421";"31.5797438882421";"31.5797438882421";"31.5797438882421";"31.5797438882421";"31.5797438882421";"0";"0";"0";"0";"31.5797438882421"
"1147";"TE H.F. REDUCIDA 3"" x 2"" C/CAMPANA        0210005";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1147";"118.67";"118.67";"118.67";"118.67";"118.67";"118.67";"118.67";"118.67";"118.67";"0";"0";"0";"118.67";"";"13.8149010477299";"13.8149010477299";"13.8149010477299";"13.8149010477299";"13.8149010477299";"13.8149010477299";"13.8149010477299";"13.8149010477299";"0";"0";"0";"0";"13.8149010477299"
"1148";"TE H.F. REDUCIDA 4"" x 2"" C/CAMPANA        0210006";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1148";"175.16";"175.16";"175.16";"175.16";"175.16";"175.16";"175.16";"175.16";"175.16";"0";"0";"0";"175.16";"";"20.3911525029104";"20.3911525029104";"20.3911525029104";"20.3911525029104";"20.3911525029104";"20.3911525029104";"20.3911525029104";"20.3911525029104";"0";"0";"0";"0";"20.3911525029104"
"1149";"TE H.F. REDUCIDA 4"" x 3"" C/CAMPANA        0210007";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1149";"180.81";"180.81";"180.81";"180.81";"180.81";"180.81";"180.81";"180.81";"180.81";"0";"0";"0";"180.81";"";"21.0488940628638";"21.0488940628638";"21.0488940628638";"21.0488940628638";"21.0488940628638";"21.0488940628638";"21.0488940628638";"21.0488940628638";"0";"0";"0";"0";"21.0488940628638"
"1150";"TE H.F. REDUCIDA 6"" x 4"" C/CAMPANA        0210010";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1150";"293.71";"293.71";"293.71";"293.71";"293.71";"293.71";"293.71";"293.71";"293.71";"0";"0";"0";"293.71";"";"34.1920838183935";"34.1920838183935";"34.1920838183935";"34.1920838183935";"34.1920838183935";"34.1920838183935";"34.1920838183935";"34.1920838183935";"0";"0";"0";"0";"34.1920838183935"
"1151";"ANILLO H.G. D= 3/4""                             0103004";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1151";"3.88";"3.88";"3.88";"3.88";"3.88";"3.88";"3.88";"3.88";"3.88";"0";"0";"0";"3.88";"";"0.451688009313155";"0.451688009313155";"0.451688009313155";"0.451688009313155";"0.451688009313155";"0.451688009313155";"0.451688009313155";"0.451688009313155";"0";"0";"0";"0";"0.451688009313155"
"1152";"TE H.F. REDUCIDA 12""X8""                         0210015";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1152";"1267.46";"1267.46";"1267.46";"1267.46";"1267.46";"1267.46";"1267.46";"1267.46";"1267.46";"0";"0";"0";"1267.46";"";"147.550640279395";"147.550640279395";"147.550640279395";"147.550640279395";"147.550640279395";"147.550640279395";"147.550640279395";"147.550640279395";"0";"0";"0";"0";"147.550640279395"
"1158";"TE H.F. 2"" C/CAMPANA                            0210001";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1158";"96.05";"96.05";"96.05";"96.05";"96.05";"96.05";"96.05";"96.05";"96.05";"0";"0";"0";"96.05";"";"11.1816065192084";"11.1816065192084";"11.1816065192084";"11.1816065192084";"11.1816065192084";"11.1816065192084";"11.1816065192084";"11.1816065192084";"0";"0";"0";"0";"11.1816065192084"
"1159";"TE H.F. 3"" C/CAMPANA                            0210002";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1159";"146.9";"146.9";"146.9";"146.9";"146.9";"146.9";"146.9";"146.9";"146.9";"0";"0";"0";"146.9";"";"17.1012805587893";"17.1012805587893";"17.1012805587893";"17.1012805587893";"17.1012805587893";"17.1012805587893";"17.1012805587893";"17.1012805587893";"0";"0";"0";"0";"17.1012805587893"
"1160";"TE H.F. 6"" C/CAMPANA                    0210004";"0";"24/8/2018 00:00:00";"12";"PIEZA";"MOTUSA 238.7150/5862/235.0372";"0";"1160";"378.6";"378.6";"378.6";"378.6";"378.6";"378.6";"378.6";"378.6";"378.6";"0";"0";"0";"378.6";"";"44.0745052386496";"44.0745052386496";"44.0745052386496";"44.0745052386496";"44.0745052386496";"44.0745052386496";"44.0745052386496";"44.0745052386496";"0";"0";"0";"0";"44.0745052386496"
"1167";"MEDIDOR DE AGUA 5MM-20 D= 3/4""";"0";"24/8/2018 00:00:00";"12";"PIEZA";"TAVIRA (0244)321.3975/4001";"0";"1167";"110";"110";"110";"110";"110";"110";"110";"110";"110";"0";"0";"0";"110";"";"12.8055878928987";"12.8055878928987";"12.8055878928987";"12.8055878928987";"12.8055878928987";"12.8055878928987";"12.8055878928987";"12.8055878928987";"0";"0";"0";"0";"12.8055878928987"
"1168";"MEDIDOR DE AGUA 3UM-20 D= 3/4""";"0";"24/8/2018 00:00:00";"12";"PIEZA";"TAVIRA (0244)321.3975/4001";"0";"1168";"214.19";"214.19";"214.19";"214.19";"214.19";"214.19";"214.19";"214.19";"214.19";"0";"0";"0";"214.19";"";"24.9348079161816";"24.9348079161816";"24.9348079161816";"24.9348079161816";"24.9348079161816";"24.9348079161816";"24.9348079161816";"24.9348079161816";"0";"0";"0";"0";"24.9348079161816"
"1169";"MEDIDOR DE AGUA 3MM-15 D= 5/8""";"0";"24/8/2018 00:00:00";"12";"PIEZA";"TAVIRA (0244)321.3975/4001";"0";"1169";"91.67";"91.67";"91.67";"91.67";"91.67";"91.67";"91.67";"91.67";"91.67";"0";"0";"0";"91.67";"";"10.6717112922002";"10.6717112922002";"10.6717112922002";"10.6717112922002";"10.6717112922002";"10.6717112922002";"10.6717112922002";"10.6717112922002";"0";"0";"0";"0";"10.6717112922002"
